id,start_x,start_y,end_x,end_y
1EW,7,1,1,1
1WE,1,2,7,2
3EW,12,1,7,1
3WE,7,2,11,2
5EW,8,9,2,9
5WE,1,10,8,10
7EW,7,21,2,21
7WE,2,22,8,22
9EW,7,29,2,29
9WE,1,30,8,30
11EW,16,1,12,1
11WE,12,2,15,2
13EW,11,15,8,15
13WE,8,16,11,16
15EW,15,15,12,15
15WE,12,16,15,16
17EW,11,29,8,29
17WE,8,39,11,39
19EW,15,15,12,15
19WE,12,16,15,16
21EW,22,15,16,15
21WE,16,16,22,16
23EW,18,29,16,29
23WE,16,30,18,30
25EW,20,24,19,24
25WE,19,25,20,25
27EW,20,6,19,6
27WE,19,7,20,7
29EW,25,3,18,3
29WE,19,4,25,4
31EW,25,29,19,29
31WE,19,30,25,30
33EW,26,21,22,21
33WE,21,22,25,22
35EW,25,9,21,9
35WE,22,10,26,10
37EW,29,3,26,3
37WE,26,4,29,4
39EW,29,15,25,15
39WE,25,16,29,16
41EW,29,29,26,29
41WE,26,30,30,30
2SN,2,29,2,22
2NS,1,22,1,30
4SN,2,21,2,10
4NS,1,10,1,21
6SN,2,9,2,2
6NS,1,1,1,9
8SN,8,30,8,22
8NS,7,22,7,29
10SN,8,21,8,16
10NS,7,16,7,21
12SN,8,15,8,10
12NS,7,10,7,15
14SN,8,9,8,2
14NS,7,2,7,9
16SN,12,30,12,16
16NS,11,16,11,29
18SN,12,14,12,2
18NS,11,2,11,14
20SN,16,29,16,16
20NS,15,16,15,29
22SN,16,17,16,1
22NS,15,2,15,15
24SN,19,29,19,20
24NS,18,20,18,29
26SN,19,11,19,4
26NS,18,3,18,11
28SN,22,21,22,16
28NS,21,16,21,22
30SN,22,15,22,10
30NS,21,9,21,15
32SN,26,29,26,21
32NS,25,22,25,29
34SN,26,10,26,1
34NS,25,1,25,9
36SN,30,30,30,16
36NS,29,16,29,29
38SN,30,15,30,4
38NS,29,4,29,15
40SN,30,3,30,1
40NS,29,1,29,3
